v1	V(n001)	V(n003)	V(n004)	-I(R1)	-I(R2)
1.110000000000001e+00	1.000000e+01	6.024413e+00	6.747350e-01	1.318985e-05	3.975587e-03
1.120000000000001e+00	1.000000e+01	5.945555e+00	6.753308e-01	1.347483e-05	4.054445e-03
1.130000000000001e+00	1.000000e+01	5.866878e+00	6.759154e-01	1.376014e-05	4.133123e-03
1.140000000000001e+00	1.000000e+01	5.788383e+00	6.764892e-01	1.404578e-05	4.211617e-03
1.150000000000001e+00	1.000000e+01	5.710074e+00	6.770528e-01	1.433173e-05	4.289926e-03
1.160000000000001e+00	1.000000e+01	5.631953e+00	6.776065e-01	1.461799e-05	4.368047e-03
1.170000000000001e+00	1.000000e+01	5.554022e+00	6.781505e-01	1.490453e-05	4.445978e-03
1.180000000000001e+00	1.000000e+01	5.476283e+00	6.786852e-01	1.519136e-05	4.523717e-03
1.190000000000001e+00	1.000000e+01	5.398739e+00	6.792110e-01	1.547846e-05	4.601261e-03
1.200000000000001e+00	1.000000e+01	5.321391e+00	6.797281e-01	1.576581e-05	4.678610e-03
1.210000000000001e+00	1.000000e+01	5.244239e+00	6.802369e-01	1.605343e-05	4.755761e-03
1.220000000000001e+00	1.000000e+01	5.167287e+00	6.807376e-01	1.634129e-05	4.832713e-03
1.230000000000001e+00	1.000000e+01	5.090535e+00	6.812304e-01	1.662938e-05	4.909465e-03
1.240000000000001e+00	1.000000e+01	5.013984e+00	6.817157e-01	1.691771e-05	4.986016e-03
1.250000000000001e+00	1.000000e+01	4.937636e+00	6.821936e-01	1.720626e-05	5.062364e-03
1.260000000000001e+00	1.000000e+01	4.861491e+00	6.826644e-01	1.749502e-05	5.138509e-03
1.270000000000001e+00	1.000000e+01	4.785550e+00	6.831283e-01	1.778399e-05	5.214450e-03
1.280000000000001e+00	1.000000e+01	4.709814e+00	6.835855e-01	1.807317e-05	5.290186e-03
1.290000000000001e+00	1.000000e+01	4.634284e+00	6.840361e-01	1.836254e-05	5.365716e-03
1.300000000000001e+00	1.000000e+01	4.558959e+00	6.844805e-01	1.865211e-05	5.441041e-03
1.310000000000001e+00	1.000000e+01	4.483841e+00	6.849187e-01	1.894186e-05	5.516158e-03
1.320000000000001e+00	1.000000e+01	4.408931e+00	6.853510e-01	1.923179e-05	5.591069e-03
